Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
48	-254.54097	119.37342	-72.72559	-765.05145	256.0	0.0	256.0	256.0	-240.36284	50.528946	-205.53607	-766.676	1254400	-7.152557e-09	9766.191	-0.0012935388	-836.8828	1.3044748	2.5776033	0.0019826642	-4.0093435e-09	0.03953125	0.0	79.0	-200.36893	54.17205	54.17205	8039.529463529587
49	-251.62312	109.708786	-72.68296	-803.18604	256.0	0.0	256.0	256.0	-251.19754	61.33528	-205.50456	-828.7339	1280000	2.9802322e-10	9378.405	-0.0010652796	-149.75	1.3116233	2.5783691	0.003886619	7.818453e-09	0.05796875	0.0	79.0	-195.21828	56.404823	56.404823	8210.099748134613
50	-269.67712	112.39476	-98.866844	-619.259	256.0	0.0	256.0	256.0	-251.38426	52.124954	-215.87175	-735.6222	1305600	-5.9604646e-09	10209.472	-0.0008673096	-398.29688	1.2805017	2.5802038	0.0072907074	3.1585806e-08	0.09378906	0.0	79.0	-232.53271	37.144424	37.144424	8377.998846292496
51	-272.20166	164.20811	-76.90463	-1055.3757	256.0	0.0	256.0	256.0	-281.3837	86.024796	-228.12415	-1018.7523	1331200	3.5762786e-09	17129.992	-0.0013564324	-533.5039	1.254523	2.5832715	0.01093041	-6.4633787e-09	0.12714843	0.0	79.0	-222.54436	49.65733	49.65733	8536.924355983734
52	-242.79288	112.39012	-107.97629	-651.17395	256.0	0.0	256.0	256.0	-256.90927	71.62928	-195.46417	-806.4662	1356800	-2.3841857e-09	9138.657	-0.0010119195	-495.54785	1.1370788	2.5778253	0.0033542507	1.6395933e-08	0.062109374	0.0	79.0	-198.8874	43.905464	43.905464	8702.351862192154
53	-248.74245	99.44513	-114.01335	-698.7965	256.0	0.0	256.0	256.0	-241.78836	57.395695	-202.41566	-839.6264	1382400	3.5762786e-09	7203.484	-0.001239481	-217.40381	1.2092679	2.5777097	0.007294314	8.060597e-09	0.084101565	0.0	79.0	-198.35109	50.391357	50.391357	8869.722184181213
54	-268.44138	147.1281	-80.85488	-1022.44275	256.0	0.0	256.0	256.0	-253.11111	63.88698	-205.13524	-994.89343	1408000	4.7683715e-09	15185.95	-0.000967294	-808.0879	1.2204747	2.5777051	0.0066676624	-3.2698736e-08	0.09226563	0.0	79.0	-227.19757	41.24384	41.24384	9035.60500216484
55	-247.54424	126.682106	-83.27697	-1001.64294	256.0	0.0	256.0	256.0	-267.97952	84.630615	-207.87485	-1074.8053	1433600	5.9604646e-09	10787.195	-0.001415919	-692.35547	1.1627766	2.579637	0.005988368	-2.511777e-08	0.08097656	0.0	79.0	-197.27832	50.265903	50.265903	9200.284910440445
56	-239.70468	103.04429	-92.807594	-699.00543	256.0	0.0	256.0	256.0	-243.01436	60.320282	-195.31525	-900.788	1459200	-4.7683715e-09	8979.728	-0.0019099212	-366.90234	1.1226327	2.579456	0.008678023	2.2551976e-08	0.10875	0.0	79.0	-189.31642	50.388237	50.388237	9362.18901848793
57	-264.9996	111.60828	-107.55948	-921.3938	256.0	0.0	256.0	256.0	-242.08554	54.047894	-198.16455	-1021.1982	1484800	4.172325e-09	10872.483	-0.0011337256	-624.77734	1.1267251	2.583382	0.005244686	2.5262125e-08	0.06707031	0.0	79.0	-219.28893	45.710693	45.710693	9529.315301895142
58	-273.9351	110.85596	-85.17267	-729.4327	256.0	0.0	256.0	256.0	-266.62564	44.660812	-219.7808	-735.7197	1510400	2.3841857e-09	9757.737	-0.0015962913	-164.50586	1.079701	2.5820925	0.007091291	-1.8100254e-08	0.103515625	0.0	79.0	-234.34619	39.588905	39.588905	9692.88781285286
59	-252.79857	130.57988	-79.931076	-906.18896	256.0	0.0	256.0	256.0	-272.7655	61.136967	-226.38591	-1030.5554	1536000	9.536743e-09	13206.277	-0.0019410813	-466.2744	1.0604296	2.5859563	0.007836138	3.0500815e-09	0.11375	0.0	79.0	-204.13127	48.667274	48.667274	9858.119914531708
60	-236.58711	116.10467	-77.08737	-905.7949	256.0	0.0	256.0	256.0	-250.91336	57.665474	-201.26535	-999.16986	1561600	1.4305114e-08	10136.53	-0.0018417931	-286.41895	1.0127423	2.579181	0.0076663927	7.543713e-09	0.10734375	0.0	79.0	-181.27228	55.31482	55.31482	10028.610482215881
61	-265.13837	123.80051	-61.01962	-797.54834	256.0	0.0	256.0	256.0	-240.85336	61.23659	-194.46085	-802.0503	1587200	1.1324882e-08	12729.197	-0.0016315341	-930.36523	0.9990153	2.5836463	0.0098867705	-2.6356428e-08	0.115117185	0.0	79.0	-230.0537	35.08469	35.08469	10195.548473596573
62	-234.93877	111.00932	-89.962296	-610.99255	256.0	0.0	256.0	256.0	-256.90137	50.571663	-203.90233	-661.8153	1612800	1.66893e-08	9322.249	-0.0013143969	-783.6826	0.95868224	2.5847526	0.006596358	-2.2342428e-08	0.0825	0.0	79.0	-185.9784	48.960384	48.960384	10364.624852657318
63	-242.76038	95.61763	-97.03715	-605.01196	256.0	0.0	256.0	256.0	-241.47105	60.424377	-179.81325	-748.4309	1638400	1.1920929e-09	7676.6724	-0.002042117	-381.66748	0.935675	2.5753481	0.0062363064	2.066139e-08	0.0959375	0.0	79.0	-186.66887	56.091503	56.091503	10534.990981340408
64	-236.90106	100.16188	-91.40478	-761.00116	256.0	0.0	256.0	256.0	-239.0186	46.56618	-191.886	-888.47	1664000	0.0	7348.33	-0.00140908	-86.625	0.8743172	2.57662	0.007408153	-4.139729e-09	0.07746094	0.0	79.0	-189.97406	46.926964	46.926964	10702.108206272125
65	-243.04228	121.63198	-67.848305	-880.0237	256.0	0.0	256.0	256.0	-239.73465	57.04719	-184.97133	-927.9845	1689600	1.1920929e-08	10691.063	-0.0012320613	-236.30469	0.8338664	2.581122	0.004866408	-1.0053627e-08	0.0621875	0.0	79.0	-190.39174	52.650547	52.650547	10869.599329471588
66	-263.14795	107.98036	-82.58247	-609.8574	256.0	0.0	256.0	256.0	-246.90918	57.07968	-192.6165	-729.8817	1715200	2.3841857e-09	9596.859	-0.0013087129	-480.74805	0.8883661	2.582263	0.0058806916	5.627051e-08	0.07167969	0.0	79.0	-212.79152	50.356457	50.356457	11036.94191288948
67	-226.34856	111.932915	-77.657906	-731.2624	256.0	0.0	256.0	256.0	-253.17409	48.980656	-205.41638	-794.46063	1740800	-8.34465e-09	9703.853	-0.0016608321	-984.64746	0.79464823	2.5769308	0.0069879224	5.746726e-08	0.0859375	0.0	79.0	-174.07706	52.27148	52.27148	11198.421936511993
