Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
27	-9.76621	12.581801	-1.0	-72.2743	256.0	0.0	256.0	256.0	-8.476564	4.729596	-6.9186454	-58.066967	716800	-7.152557e-09	-7.152557e-09	132.33794	-0.0009049678	-2.4155731	0.18265405	1.8814272	0.00035474432	0.0053291144	0.00359375	0.023515625	79.0	12.298412	22.06462	22.06462	4666.914956569672
28	-8.785517	11.226852	-1.0	-53.740665	256.0	0.0	256.0	256.0	-9.85542	5.7230496	-8.013059	-73.484146	742400	5.9604646e-09	5.9604646e-09	96.41906	-0.000989862	-1.3630753	0.17839012	1.8419547	0.00021273579	0.003006194	0.0033203126	0.02109375	79.0	15.345843	24.131363	24.131363	4837.162907361984
29	-9.681576	10.221337	-1.0	-50.359768	256.0	0.0	256.0	256.0	-8.798538	5.082573	-6.8918395	-56.785316	768000	-9.536743e-09	-1.07288365e-08	89.13816	-0.0015642477	-1.7888031	0.19561099	1.8217617	-6.2743406e-05	0.004860293	0.0054296874	0.026992187	79.0	13.042588	22.724165	22.724165	5003.514705181122
30	-7.844064	10.116454	-1.0	-51.583744	256.0	0.0	256.0	256.0	-9.467694	4.06056	-8.148661	-54.589375	793600	0.0	-3.5762786e-09	84.65018	-0.0006709456	-2.9875793	0.15017456	1.842586	5.4743654e-05	0.0053280713	0.0016796875	0.03296875	79.0	12.216	20.060064	20.060064	5173.25936627388
31	-7.954757	9.228015	-1.0	-43.530533	256.0	0.0	256.0	256.0	-7.8387737	4.373594	-6.326101	-53.04063	819200	1.1920929e-09	-1.1920929e-09	71.61015	-0.000968976	-0.46788025	0.15758185	1.8789182	-8.69523e-05	0.0032919394	0.001015625	0.022421874	79.0	9.783054	17.737812	17.737812	5342.703354597092
32	-8.27843	9.900054	-1.0	-55.022354	256.0	0.0	256.0	256.0	-8.0731125	4.159784	-6.6459928	-53.71622	844800	1.7881393e-09	5.9604643e-10	80.43465	-0.001078369	-0.11797333	0.1590983	1.8658224	0.00026435984	0.0059704017	0.009726563	0.048164062	79.0	15.199937	23.478367	23.478367	5511.063966035843
33	-8.26637	9.249782	-1.0	-45.38718	256.0	0.0	256.0	256.0	-8.177282	3.744321	-6.8189397	-49.5686	870400	-4.7683715e-09	-4.7683715e-09	68.96288	-0.0006075382	-0.4591751	0.15725529	1.8370011	1.33961485e-05	0.0029736066	0.00109375	0.019648438	79.0	11.440932	19.707302	19.707302	5678.229947805405
34	-7.274772	10.224857	-1.0	-52.703934	256.0	0.0	256.0	256.0	-8.250528	4.794621	-6.8603663	-59.51908	896000	1.1920929e-08	1.1920929e-08	81.152596	-0.0011115812	-1.4584122	0.13108006	1.8463941	7.725184e-05	0.005533765	0.0041015623	0.05621094	79.0	13.055398	20.330172	20.330172	5830.853472471237
35	-8.701015	9.222676	-1.0	-36.030144	256.0	0.0	256.0	256.0	-7.472	4.844185	-5.6472783	-46.815163	921600	8.34465e-09	7.152557e-09	74.75484	-0.0011949039	-3.063034	0.16027507	1.8376786	-0.0002949532	0.004869821	0.003671875	0.030664062	79.0	15.652104	24.353117	24.353117	5996.057145357132
36	-7.616437	9.211571	-1.0	-47.915966	256.0	0.0	256.0	256.0	-8.562111	3.4255989	-7.3760853	-42.078438	947200	-3.5762786e-09	-3.5762786e-09	71.390526	-0.0007553816	-1.1619339	0.14074038	1.8121309	1.7874632e-05	0.0033068224	0.0057421876	0.024570312	79.0	15.666407	23.282843	23.282843	6159.853811264038
37	-7.192335	7.9691997	-1.0	-36.451805	256.0	0.0	256.0	256.0	-7.3789606	2.9164317	-6.378181	-35.598305	972800	-3.5762786e-09	-3.5762786e-09	54.40086	-0.0007008684	-0.1981659	0.12368658	1.8152257	0.00030702862	0.00586578	0.0063671875	0.039609376	79.0	8.255915	15.448251	15.448251	6325.504990577698
38	-7.533419	9.257665	-1.0	-49.019222	256.0	0.0	256.0	256.0	-7.3824935	3.7295175	-6.2125106	-50.88166	998400	-1.7881393e-09	-2.3841857e-09	69.8274	-0.0011014122	-0.1695404	0.12798609	1.7811022	8.665603e-06	0.004105014	0.0055859373	0.035273436	79.0	12.746901	20.280323	20.280323	6492.630443572998
39	-9.08407	10.40476	-1.0	-44.428303	256.0	0.0	256.0	256.0	-7.8105574	4.6876197	-6.2515836	-53.99983	1024000	8.940697e-09	8.493662e-09	89.73251	-0.0008743561	-1.9772797	0.14718921	1.7831247	0.00018541433	0.0038693205	0.0033984375	0.024140624	79.0	15.054326	24.138395	24.138395	6656.853796005249
40	-7.350239	8.583112	-1.0	-41.300236	256.0	0.0	256.0	256.0	-8.628443	3.3535528	-7.4705677	-42.9456	1049600	5.9604646e-09	5.9604646e-09	66.16925	-0.0013423765	-1.8095703	0.10720706	1.7860732	0.00010266863	0.00205338	0.0074609374	0.0240625	79.0	8.370605	15.720844	15.720844	6824.442891120911
41	-7.649926	8.282339	-1.0	-44.403465	256.0	0.0	256.0	256.0	-7.5045094	3.2631571	-6.36763	-35.347824	1075200	-5.9604646e-09	-5.9604646e-09	59.41837	-0.0007788325	-0.16747665	0.120020024	1.7823513	0.00040460847	0.004135273	0.0076953126	0.030195313	79.0	11.257025	18.90695	18.90695	6986.7137405872345
42	-6.801515	8.17922	-1.0	-42.957363	256.0	0.0	256.0	256.0	-7.6202703	3.3274941	-6.6303477	-44.675095	1100800	4.7683715e-09	4.7683715e-09	55.510345	-0.00074607134	-0.76391983	0.09844595	1.8101505	-3.3366923e-05	0.00441411	0.0029296875	0.018007813	79.0	15.120811	21.922327	21.922327	7157.274832725525
43	-8.289393	9.844191	-1.0	-50.74356	256.0	0.0	256.0	256.0	-7.104152	3.8093815	-5.7064247	-39.278103	1126400	1.7881394e-08	1.7881394e-08	78.80834	-0.0006021607	-2.0246506	0.12863658	1.7994285	0.00028825362	0.004049919	0.0055078124	0.019492187	79.0	15.769087	24.058483	24.058483	7326.482038497925
44	-7.094352	9.23448	-1.0	-50.81756	256.0	0.0	256.0	256.0	-8.017804	4.099006	-6.7317123	-48.881607	1152000	-4.7683715e-09	-4.7683715e-09	65.262985	-0.00053695915	-1.4987488	0.09484726	1.7689693	-0.0001233088	0.0041268086	0.001328125	0.028242188	79.0	13.832767	20.927116	20.927116	7494.243267297745
45	-6.5886235	8.876298	-1.0	-50.764137	256.0	0.0	256.0	256.0	-6.914292	4.0093837	-5.4854465	-44.698288	1177600	-1.4305114e-08	-1.4305114e-08	62.50731	-0.0010371911	-0.4597931	0.09029618	1.7794282	3.571693e-05	0.0031299728	0.0024609375	0.0290625	79.0	10.686191	17.274815	17.274815	7657.9598779678345
46	-6.91118	8.489315	-1.0	-43.46543	256.0	0.0	256.0	256.0	-6.6770167	4.3839145	-5.288903	-52.23174	1203200	-4.7683715e-09	-4.7683715e-09	62.138195	-0.0007828939	-1.5040092	0.087404706	1.7835267	7.2685674e-05	0.004452109	0.0024609375	0.03378906	79.0	11.119803	18.030981	18.030981	7820.709861040115
47	-7.843091	8.365083	-1.0	-41.698566	256.0	0.0	256.0	256.0	-6.9888325	3.3955927	-5.7401237	-36.384068	1228800	4.7683715e-09	4.7683715e-09	60.301414	-0.0003228903	-0.9531708	0.09588566	1.7818799	-7.694012e-05	0.0040401337	0.001328125	0.028359376	79.0	14.474706	22.317799	22.317799	7986.364333152771
48	-5.6085997	5.826993	-1.0	-28.449677	256.0	0.0	256.0	256.0	-7.5454707	2.7201877	-6.734872	-38.990776	1254400	-3.5762786e-09	-3.5762786e-09	33.101482	-0.00061729195	-4.0435104	0.06938484	1.7927302	6.8294496e-05	0.0042893286	0.001640625	0.0425	79.0	11.467632	17.076231	17.076231	8150.529159069061
49	-5.355348	5.980111	-1.0	-29.475576	256.0	0.0	256.0	256.0	-5.6356587	2.2682452	-4.9807096	-33.503765	1280000	0.0	2.3841857e-09	29.87393	-0.0007428288	-0.13386726	0.06417589	1.7838196	-2.3602344e-05	0.0032656884	0.0019921875	0.033046875	79.0	11.820469	17.175817	17.175817	8314.070366382599
50	-5.499272	6.1387377	-1.0	-29.478868	256.0	0.0	256.0	256.0	-5.4366736	2.7234619	-4.6333394	-32.42314	1305600	-8.34465e-09	-8.34465e-09	32.2872	-0.0006575608	-0.23680878	0.069857806	1.8023697	-0.00015090594	0.00533579	0.00046875	0.038632814	79.0	10.761206	16.260475	16.260475	8480.933275699615
51	-6.6892824	7.279553	-1.0	-39.693882	256.0	0.0	256.0	256.0	-5.579871	2.4424858	-4.6955624	-29.813381	1331200	-9.536743e-09	-9.536743e-09	46.13375	-0.00092194794	-1.5264854	0.08181238	1.7888608	-0.00011513648	0.0037241303	0.0026953125	0.026523437	79.0	13.663366	20.35265	20.35265	8648.196645259857
52	-8.704372	9.042447	-1.0	-40.842148	256.0	0.0	256.0	256.0	-7.075093	3.6867871	-5.7560797	-36.588696	1356800	3.5762786e-09	3.5762786e-09	69.29966	-0.00044312	-2.8225174	0.100663565	1.7597505	3.804858e-05	0.0044120643	0.0008984375	0.025507813	79.0	17.95849	26.662865	26.662865	8816.24128317833
