iteration scheduler BSLD AVGW AVGT SLD
17 fb 1.0 0.0 4765.5771484375 1.0
17 ff 1.0 0.0 4765.5771484375 1.0
17 sr 1.0 0.0 4765.5771484375 1.0
17 sb 1.0 0.0 4765.5771484375 1.0
17 sf 1.0 0.0 4765.5771484375 1.0
17 lr 1.0 0.0 4765.5771484375 1.0
17 lb 1.0 0.0 4765.5771484375 1.0
17 lf 1.0 0.0 4765.5771484375 1.0
17 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4770.231032371521 1.0009765625
17 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4770.23557718005 1.0009775161743164
18 rr 1.0 0.0 5269.6435546875 1.0
18 rb 1.0 0.0 5269.6435546875 1.0
18 rf 1.0 0.0 5269.6435546875 1.0
18 fr 1.0 0.0 5269.6435546875 1.0
18 fb 1.0 0.0 5269.6435546875 1.0
18 ff 1.0 0.0 5269.6435546875 1.0
18 sr 1.0 0.0 5269.6435546875 1.0
18 sb 1.0 0.0 5269.6435546875 1.0
18 sf 1.0 0.0 5269.6435546875 1.0
18 lr 1.0 0.0 5269.6435546875 1.0
18 lb 1.0 0.0 5269.6435546875 1.0
18 lf 1.0 0.0 5269.6435546875 1.0
18 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 5274.7896909713745 1.0009765625
18 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 5274.794716495089 1.0009775161743164
19 rr 1.0 0.0 4901.734375 1.0
19 rb 1.0 0.0 4901.734375 1.0
19 rf 1.0 0.0 4901.734375 1.0
19 fr 1.0 0.0 4901.734375 1.0
19 fb 1.0 0.0 4901.734375 1.0
19 ff 1.0 0.0 4901.734375 1.0
19 sr 1.0 0.0 4901.734375 1.0
19 sb 1.0 0.0 4901.734375 1.0
19 sf 1.0 0.0 4901.734375 1.0
19 lr 1.0 0.0 4901.734375 1.0
19 lb 1.0 0.0 4901.734375 1.0
19 lf 1.0 0.0 4901.734375 1.0
19 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.385061756659919 10.947265625 4917.468490600586 1.6343781629099192
19 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.27066123615253 7.438425064086914 4913.964324697852 1.3675843967055084
