Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
31	-7.9945416	9.534982	-1.0	-49.779274	256.0	0.0	256.0	256.0	-8.279714	4.349933	-4.301055	-47.39951	819200	-3.5762786e-09	-3.5762786e-09	76.75795	-0.0007839799	-0.91532135	0.14917591	1.6202972	-7.417975e-05	0.0036304987	0.0007421875	0.026640626	79.0	9.743272	17.737812	17.737812	4104.130830049515
32	-10.132689	12.337168	-1.0	-64.12562	256.0	0.0	256.0	256.0	-8.377885	5.229151	-4.49482	-63.885612	844800	8.642673e-09	8.642673e-09	126.677284	-0.0010141274	-4.1257935	0.18699291	1.5991539	0.0003985433	0.0023275567	0.004140625	0.01703125	79.0	13.345676	23.478367	23.478367	4231.885673761368
33	-8.252205	9.286302	-1.0	-55.999535	256.0	0.0	256.0	256.0	-9.839306	4.0938535	-5.724694	-58.024532	870400	2.3841857e-09	2.3841857e-09	71.85062	-0.0014838122	-3.118187	0.1553859	1.6158441	0.00024532963	0.0040210597	0.0035546876	0.022578126	79.0	11.4551	19.707302	19.707302	4363.154252290726
34	-7.8936176	10.236418	-1.0	-49.79628	256.0	0.0	256.0	256.0	-8.284882	4.7861757	-5.1524205	-65.03811	896000	7.152557e-09	9.536743e-09	80.6755	-0.0010677504	-0.6531296	0.1414194	1.5889864	1.8452666e-06	0.0032872898	0.0048046876	0.029296875	79.0	12.43655	20.330172	20.330172	4497.302015781403
35	-8.849655	9.981553	-1.0	-42.314774	256.0	0.0	256.0	256.0	-8.085127	4.8242946	-4.682818	-57.55058	921600	5.9604646e-09	5.3644182e-09	81.33589	-0.0008148873	-1.4323349	0.1698346	1.5507122	-4.255512e-05	0.0021919524	0.001328125	0.010429688	79.0	15.503463	24.353117	24.353117	4630.143879413605
36	-8.842603	10.633026	-1.0	-52.33767	256.0	0.0	256.0	256.0	-8.855763	4.392014	-5.45243	-57.031796	947200	2.3841857e-09	2.3841857e-09	93.66919	-0.0014324307	-0.7361603	0.15951788	1.5248723	0.0002108287	0.0030351933	0.0048828125	0.025507813	79.0	14.440241	23.282843	23.282843	4763.350145339966
37	-7.4693356	8.279019	-1.0	-34.19987	256.0	0.0	256.0	256.0	-8.487744	3.3817303	-5.899824	-44.177357	972800	9.536743e-09	9.536743e-09	59.098965	-0.00091454864	-1.51371	0.1340643	1.5675101	1.9728861e-05	0.0025683716	0.0051953127	0.0128125	79.0	7.9789147	15.448251	15.448251	4892.779637098312
38	-8.427509	9.58829	-1.0	-47.004173	256.0	0.0	256.0	256.0	-7.7088017	3.9443629	-4.621571	-52.240284	998400	-1.1920929e-09	-1.1920929e-09	75.02224	-0.00094396237	-0.99230194	0.14384083	1.5615917	-3.4632416e-05	0.0047972975	0.003671875	0.03046875	79.0	11.852813	20.280323	20.280323	5024.54838013649
39	-10.240662	10.905554	-1.0	-48.05394	256.0	0.0	256.0	256.0	-8.787122	4.9159517	-5.0473194	-54.551777	1024000	-5.066395e-09	-5.3644182e-09	99.064606	-0.0012678843	-2.6679	0.17112738	1.5831146	0.00035698956	0.0028962728	0.008125	0.026367188	79.0	13.897736	24.138395	24.138395	5156.510330200195
40	-7.873517	9.078518	-1.0	-49.110477	256.0	0.0	256.0	256.0	-9.776101	3.5678294	-6.272567	-56.687763	1049600	3.2782554e-09	3.2782554e-09	72.467995	-0.0010714298	-4.141304	0.13075554	1.6002234	-0.0002454831	0.003711704	0.00296875	0.026796876	79.0	7.8473263	15.720844	15.720844	5292.52650976181
