Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
37	-238.23233	108.87506	-62.874798	-801.3589	256.0	0.0	256.0	256.0	-230.89333	50.355663	-192.90515	-1014.4764	972800	0.22555837	9518.193	-0.0015342534	-131.43262	1.5665506	2.5784826	0.019311106	8.456409e-09	0.16925782	0.0	17.0	-196.73813	41.494198	41.494198	5465.156738042831
38	-245.3835	111.03626	-95.69663	-837.984	256.0	0.0	256.0	256.0	-243.69324	56.243393	-198.8112	-933.3294	998400	0.2311364	9636.51	-0.0005109012	-148.58203	1.6736282	2.5799165	0.015773641	-6.3097105e-09	0.15734375	0.0	32.0	-191.24995	54.13354	54.13354	5601.952801942825
39	-238.99902	102.00732	-65.65454	-731.72144	256.0	0.0	256.0	256.0	-243.69621	48.434082	-205.90765	-888.1068	1024000	0.22926247	8045.9907	-0.0007171333	-47.396484	1.7470806	2.5749493	0.015344041	1.1399388e-08	0.15132813	0.0	77.0	-194.82817	44.170864	44.170864	5765.282237768173
40	-246.48088	102.94162	-65.09868	-538.6023	256.0	0.0	256.0	256.0	-240.2826	51.67308	-200.57109	-660.01	1049600	0.24228469	7655.1	-0.0025340915	-152.47119	1.6769398	2.5814164	0.01862058	-6.9849193e-10	0.1875	0.0	19.0	-187.9128	58.568077	58.568077	5890.380755186081
41	-243.09076	93.64712	-86.968506	-492.03995	256.0	0.0	256.0	256.0	-246.23561	53.357716	-204.03615	-710.88074	1075200	0.255038	6899.183	-0.0025379956	-98.5083	1.7276547	2.5804596	0.017069874	4.703179e-10	0.14644532	0.0	30.0	-198.22662	44.864136	44.864136	6021.86442732811
42	-251.61023	119.8759	-105.470726	-662.7219	256.0	0.0	256.0	256.0	-248.56801	53.175613	-204.91507	-682.52167	1100800	0.22993515	11106.454	-0.0014690757	-194.3164	1.7195722	2.5776007	0.016113551	3.5762786e-09	0.1703125	0.0	58.0	-190.43721	61.17301	61.17301	6176.633275747299
43	-239.79044	110.82273	-79.155655	-684.0618	256.0	0.0	256.0	256.0	-248.08557	55.499878	-207.7792	-719.4369	1126400	0.23428254	9839.755	-0.0014144927	-175.05762	1.6791056	2.5799835	0.011421132	-2.8871e-10	0.11296875	0.0	79.0	-199.09201	40.698376	40.698376	6339.850327014923
44	-232.35233	95.94419	-105.27323	-617.07074	256.0	0.0	256.0	256.0	-239.02324	52.39161	-201.77042	-860.9152	1152000	0.22193676	7496.9155	-0.0014200658	-141.40918	1.6457099	2.5842648	0.016018767	8.754432e-09	0.15214844	0.0	68.0	-169.6314	62.72097	62.72097	6501.2478930950165
45	-226.93408	90.95243	-77.438965	-529.4708	256.0	0.0	256.0	256.0	-232.84967	42.533173	-197.75162	-636.39594	1177600	0.21787645	6731.386	-0.002512455	-56.76367	1.6929249	2.5740905	0.019792194	1.5599653e-09	0.19648437	0.0	15.0	-156.81929	70.1148	70.1148	6629.93093752861
46	-231.525	103.54411	-92.87525	-719.61316	256.0	0.0	256.0	256.0	-228.98088	46.68089	-197.00041	-902.3489	1203200	0.20468943	7711.647	-0.0023160428	-144.00928	1.665161	2.5818834	0.01907144	-8.456409e-09	0.19070312	0.0	19.0	-183.9377	47.5873	47.5873	6759.796613693237
