Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
28	-20.703615	19.517748	-1.0111955	-106.05898	256.0	0.0	256.0	256.0	-20.548784	9.575664	-15.283074	-105.483574	742400	5.3644182e-09	5.3644182e-09	286.0863	-0.0011438781	-2.2852173	0.41265061	2.2637231	0.00045251497	0.0	0.0020703124	0.0	79.0	3.4277477	24.131363	24.131363	4887.272975444794
29	-21.743582	18.927568	-1.7345328	-108.20151	256.0	0.0	256.0	256.0	-20.760696	9.737615	-16.182209	-96.38495	768000	3.4272671e-09	3.5762786e-09	276.2601	-0.0014244277	-2.5213623	0.44162154	2.2656617	0.0011067261	0.0	0.006953125	0.0	79.0	0.980586	22.724165	22.724165	5057.177527189255
30	-18.580843	20.261982	-1.0	-112.53782	256.0	0.0	256.0	256.0	-21.50043	9.642847	-17.545015	-111.05959	793600	0.0	-1.1920929e-09	323.42197	-0.00155308	-9.920959	0.3705487	2.2746623	0.00037288724	0.0	0.0069140624	0.0	79.0	1.4792223	20.060064	20.060064	5227.721002578735
31	-17.195942	14.831403	-1.0497897	-72.73163	256.0	0.0	256.0	256.0	-17.992897	7.7814097	-15.052747	-107.72258	819200	5.3644182e-09	5.3644182e-09	177.95088	-0.0012988996	-3.0633392	0.3338757	2.2826092	0.00033822327	0.0	0.0037109375	0.0	79.0	0.5418703	17.737812	17.737812	5392.524029493332
32	-19.464249	16.287516	-1.0	-89.81474	256.0	0.0	256.0	256.0	-17.790255	7.633796	-14.16009	-86.05826	844800	7.152557e-09	8.34465e-09	209.79901	-0.0021142496	-3.5642853	0.39535913	2.268812	0.00033906958	0.0	0.010546875	0.0	79.0	4.0141177	23.478367	23.478367	5557.420393943787
33	-17.07769	11.786294	-1.855308	-48.899597	256.0	0.0	256.0	256.0	-19.010513	6.432004	-15.609044	-68.89738	870400	4.7683715e-09	4.7683715e-09	126.991936	-0.0010211802	-7.9873734	0.34822705	2.2706568	-3.9304687e-05	0.0	0.0015625	0.0	79.0	2.6296134	19.707302	19.707302	5723.542786836624
34	-15.637613	14.545358	-1.0	-71.35486	256.0	0.0	256.0	256.0	-17.117493	5.1564674	-14.571629	-60.843975	896000	5.9604646e-09	5.9604646e-09	163.64104	-0.0010024225	-8.488647	0.33358204	2.269799	-0.00012844175	0.0	0.00171875	0.0	79.0	4.6925564	20.330172	20.330172	5887.6200540065765
35	-20.647985	20.466728	-1.0010685	-116.86868	256.0	0.0	256.0	256.0	-16.39665	8.749208	-11.768543	-86.436195	921600	6.2584875e-09	5.9604646e-09	345.686	-0.0010091058	-21.151245	0.39179826	2.2687109	0.0002625007	0.0	0.0033984375	0.0	79.0	3.7051296	24.353117	24.353117	6053.586289405823
36	-19.857224	16.052784	-1.0	-72.0841	256.0	0.0	256.0	256.0	-20.32035	8.339987	-16.080204	-77.074165	947200	1.4901161e-09	1.4901161e-09	199.15555	-0.0015305004	-1.640564	0.393136	2.2559562	-8.342554e-05	0.0	0.0030859376	0.0	79.0	3.4256177	23.282843	23.282843	6218.461965799332
37	-15.811387	14.458231	-1.0	-86.55853	256.0	0.0	256.0	256.0	-18.828154	5.8740764	-15.862425	-73.84698	972800	7.152557e-09	7.152557e-09	179.36761	-0.0012131792	-10.138077	0.31828067	2.2799737	-7.7427656e-05	0.0	0.0020703124	0.0	79.0	-0.36313492	15.448251	15.448251	6385.6376168727875
38	-17.797615	18.869928	-1.1810826	-126.255486	256.0	0.0	256.0	256.0	-16.415934	8.386227	-12.169276	-107.49567	998400	0.0	-1.1920929e-09	259.80273	-0.001009252	-8.894348	0.34386918	2.262013	0.0002188489	0.0	0.003046875	0.0	79.0	2.482706	20.280323	20.280323	6549.729271650314
